magazine_key,owner_urlname,is_jointly_managed,name
mb04e4950ecc7,yume_suisho,False,星と心を整えるセルフケア占い便り
m4a7d3e0a49ff,yume_suisho,False,月の灯に寄り添う、推し心セラピー
md339b5f2cba7,yume_suisho,True,水晶ゆめと紡ぐ、心をほどく言葉マガジン
m9186cf842d83,marketer_note,True,共同マガジン「ハルマガ」
ma8d107d9475f,tatsuopapa,True,🌱感謝の流れが巡るやさしい循環マガジン🌱
m3759ff7a5b9c,shigekumasaku,True,シゲクサークル共同運営マガジン
m9872a92a8af5,shigekumasaku,True,note集客発掘パーク
m53caa91d8fe4,shigekumasaku,True,大人の学びキャンパス
m9614e5ff9031,shigekumasaku,True,有料note銀座商店街
m97848c1bdf32,tatsuopapa,True,自分に優しく、人にはもっと優しい成長マガジン♪
m5b505e19556f,tsunagu_story,True,つなぐの共同運営マガジン『繊細さんのやさしい森』
m53a4231bb0f4,danatanotanuki,True,エン狸
md5bb445990ad,hiroxkura,True,"""クラ""の 🌈心と言葉と音が、静かに共鳴する場所へ"
mc6810aa41870,supertoraneko,True,AI-LA（アイラ）
m1525f77c2703,yume_suisho,False,あなたのスキ♡届いています！
mdb292cf776c7,akari_seaart,True,アカリウム1号館｜みんなの創作が泳ぐ場所🐟️
m58d48e04e931,trainer_diet,True,YUKIのシナジー&エボリューションマガジン
m653e8e82ea44,sc_fun,True,SCと紡ぐ、言葉を大切にするマガジン
mba58a6f9aacf,okasumi,True,丘澄絵梨奈の共同マガジン
m7aa6f4dbfab8,akari_seaart,True,あかりのプレミアムクリエイティブマガジン
m7d7e5bb35223,akari_seaart,True,みんなで作る！あかりのクリエイティブマガジン
m3c958fc46238,lemon_lemon_,True,Lemon🍋みんなのアートを応援【共同運営マガジン】
m6cf909200081,tatsuopapa,True,The Gratitude Flow Loop｜有料循環室
mc7c43a9831f4,tatsuopapa,True,❀龍神のご縁結び｜メンバーシップ限定共同運営マガジン❀
md96759f4be5b,kyownruby,True,きょんとみんなの🌸フリーマガジン
mb028566a46ee,yuri_ai_tec,True,あなたへ届けるnote（共同運営マガジン）
m88c60f6cf9a2,yume_suisho,False,水晶ゆめの有料マガジン
m247d43511b1c,akari_seaart,True,アカリウム特別展示室|みんなの創作が泳ぐ場所🐟
ma475a8bdcecc,aibiyori_masusu,True,ますすとひよりのアトリエ🐾
m2ff833e36575,lush_dog9575,True,Gallery Unmasked
m4aef7115f345,fordtaurus116,True,みんなのお仕事を発信する。AIチャッティ共同運営マガジンです
md7d287f4dc1c,suke_namako,True,萌え萌えオーバードーズ【共同運営マガジン】
m12d57af300cb,yakkn2004s,True,ビスマス【共同運営マガジン】
