magazine_key,owner_urlname,is_jointly_managed,name
md3a807653baf,wise_rat6355,True,綴り灯
md2a022132e8f,mugimugi92,True,【むぎ屋】note×AI活用推進マガジン
m7aa6f4dbfab8,akari_seaart,True,あかりのプレミアムクリエイティブマガジン
m1df0b906bace,sui_ai_drawing,True,【共同運営】スイとみんなで作る!ノージャンル同盟🫧
m38c6d06537bf,nenkoro2,True,ChatGPTCreativeClub【共同マガジン】
mdb292cf776c7,akari_seaart,True,アカリウム1号館｜みんなの創作が泳ぐ場所🐟️
mc6810aa41870,supertoraneko,True,AI-LA（アイラ）
ma4dad1f25900,n_kazumai55633,True,みんなとミナトのAIイラスト展示場🎨
m3d8047a5ae9e,sui_ai_drawing,True,【#プロプラ】スイとみんなのAIプロンプト広場（共同運営）
m8fb499ecbcbb,reipichu,True,集まれ！白銀の髪同盟【共同運営マガジン】
ma7cfc1fc95e7,kotsushiba,True,BREAKOUT GRAND PRIX 2026｜応募作品
m1fb06cd6a61d,modern_holly38,True,ダルメイFC
mfe64df54c3a2,hasyamo,False,おはようカノジョ開発日記
m383d4222a51a,hasyamo,False,元気が出る記事
m4b28b43ad8da,hasyamo,False,おはようカノジョ組込み検討
